corso_codice,corso_descrizione,campus,ambiti,tipologia,lingue
8527,Viticoltura ed enologia,Cesena,Scienze agro-alimentari,Laurea,it
8528,Tecnologie alimentari,Cesena,Scienze agro-alimentari,Laurea,it
8531,Scienze e tecnologie alimentari,Cesena,Scienze agro-alimentari,Laurea Magistrale,it
8532,"Progettazione e gestione degli ecosistemi agro-territoriali, forestali e del paesaggio",Bologna,Scienze agro-alimentari,Laurea Magistrale,it
8537,Science for the Conservation-Restoration of Cultural Heritage,Ravenna,Scienze,Laurea Magistrale,en
8540,Scienze della formazione primaria,Bologna,Scienze dell’educazione e della formazione,Laurea Magistrale a ciclo unico,it
8614,Ingegneria e scienze informatiche,Cesena,"Ingegneria e architettura, Scienze",Laurea Magistrale,it en
8615,Ingegneria e scienze informatiche,Cesena,"Ingegneria e architettura, Scienze",Laurea,it
8616,Conservazione e restauro dei beni culturali (abilitante ai sensi del d. lgs n. 42/2004),Ravenna,Studi umanistici,Laurea Magistrale a ciclo unico,it
8617,Medicina veterinaria,Bologna,Medicina veterinaria,Laurea Magistrale a ciclo unico,it
8626,Fisica del sistema Terra,Bologna,Scienze,Laurea Magistrale,it
8766,Scienze delle attività motorie e sportive,Rimini,Scienze motorie,Laurea,it
8770,Ingegneria elettronica e telecomunicazioni per l'energia,Cesena,Ingegneria e architettura,Laurea Magistrale,it
8771,Ingegneria meccanica,Forlì,Ingegneria e architettura,Laurea Magistrale,it
8773,Scienze filosofiche,Bologna,Studi umanistici,Laurea Magistrale,it
8774,Scienze e tecniche psicologiche,Cesena,Psicologia,Laurea,it
8780,Scienze dell'educazione permanente e della formazione continua,Bologna,Scienze dell’educazione e della formazione,Laurea Magistrale,it
8786,Sociologia e servizio sociale,Bologna,Sociologia,Laurea Magistrale,it
8829,Ingegneria dei processi e dei sistemi edilizi,Ravenna,Ingegneria e architettura,Laurea Magistrale,it en
8834,Acquacoltura e igiene delle produzioni ittiche,Cesena,Medicina veterinaria,Laurea,it
8835,Economics and Finance,Bologna,Economia e management,Laurea,en
8837,Discipline della musica e del teatro,Bologna,Studi umanistici,Laurea Magistrale,it
8839,Resource Economics and Sustainable Development,Rimini,Economia e management,Laurea Magistrale,en
