annoaccademico,immatricolabile,corso_codice,corso_descrizione,url,campus,sededidattica,ambiti,tipologia,durata,internazionale,internazionale_titolo,internazionale_lingua,lingue,accesso
2023/2024,True,9202,Economia e commercio,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9202,Forlì,Forlì,Economia e management,Laurea,3,False,,,it,numero chiuso
2023/2024,True,9203,Economia e management,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9203,Forlì,Forlì,Economia e management,Laurea Magistrale,2,True,Titolo multiplo,,it,numero chiuso
2023/2024,True,9205,Telecommunications Engineering,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9205,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,True,Titolo multiplo,Erogato in lingua straniera,en,libero
2023/2024,True,9206,Pedagogia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9206,Bologna,Bologna,Scienze dell’educazione e della formazione,Laurea Magistrale,2,False,,,it,numero chiuso
2023/2024,True,9210,Medicine and Surgery,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9210,Bologna,Bologna,Medicina e Chirurgia,Laurea Magistrale a ciclo unico,6,True,,Erogato in lingua straniera,en,numero programmato nazionale
2023/2024,True,9211,Genomics,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9211,Bologna,Bologna,Farmacia e biotecnologie,Laurea,3,True,,Erogato in lingua straniera,en,numero chiuso
2023/2024,True,9212,Biologia della salute,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9212,Bologna,Bologna,Farmacia e biotecnologie,Laurea Magistrale,2,False,,,it,numero chiuso
2023/2024,True,9213,Biotecnologie molecolari e industriali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9213,Bologna,Bologna,Farmacia e biotecnologie,Laurea Magistrale,2,False,,,it,libero
2023/2024,True,9214,Management delle attività motorie e sportive,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9214,Bologna,Bologna,Scienze motorie,Laurea Magistrale,2,False,,,it,numero chiuso
2023/2024,True,9216,Filosofia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9216,Bologna,Bologna,Studi umanistici,Laurea,3,True,Titolo multiplo,,it,libero
